title,label
going back to the future in 2016,REAL
dem insiders sanders failed to dent clinton,REAL
fuming over ryan some conservative voices turn on the freedom caucus,REAL
cruz trump and rubio win in iowa and now we know who the losers are too,REAL
trump will skip gop debate as feud with fox news boils over,REAL
trump to african americans what do you have to lose,REAL
clinton foundation received subpoena from state department investigators,REAL
house gop smells victory in budget battle,REAL
why the gop could take obamas corporate tax proposal seriously,REAL
manhunt for escaped killers expands to vermont,REAL
patriot act debate highlights stark differences between 2001 2015 views,REAL
the cleveland show convention starts under security cloud,REAL
texas troopers to ask drivers their race following investigation,REAL
rand paul wraps filibuster over patriot act and nsa surveillance,REAL
poll clinton support spikes following democratic convention,REAL
rand pauls all too familiar campaign,REAL
kate steinles death and sanctuary cities what good are our laws without enforcement,REAL
is the gops stop trump campaign too late,REAL
gary johnson avoids typical third party fade best polling since perot in 92,REAL
one year after obama embraced cuba what has changed,REAL
popular health exchange in jeopardy after surprise republican win,REAL
marco rubios strategy is utterly baffling,REAL
did gary johnson just get boxed out of the debates,REAL
david sweat shot captured alive after new york manhunt,REAL
inside the war on coal,REAL
scott walkers economic mess how worker wages were gutted in wisconsin,REAL
democrats weigh how to nudge sanders out,REAL
eleven states sue obama admin over transgender directive,REAL
sanders warns clinton against moderate as vp,REAL
evangelicals sing a new tune on trump meeting may be a tipping point,REAL
donald trump im not flip flopping on immigration,REAL
ryan and mcconnell confront their first big test,REAL
will asia trade deal hurt us workers six tough questions answered,REAL
facebook isnt just making us less partisan its making us less politically engaged,REAL
gas prices could drop toward 1 a gallon,REAL
adelsons review journal gives trump first major endorsement,REAL
jeb bush and iraq what price family loyalty video,REAL
obama oval office speech aims to reassure nation over terror threats,REAL
gop contenders prep for loud ugly holiday season,REAL
trump in vegas phoenix illegals wreaking havoc on our population,REAL
pope calls on catholics to shelter europes migrants,REAL
jonah goldberg hillarys iowa win is a big loss for democrats,REAL
guns terror and lgbt rights orlando shooting raises stakes for next president,REAL
media trumpeting trump implosion but is it real,REAL
us economy added 223000 jobs in april,REAL
the collectivist election,REAL
whats behind the debate over the republican debates,REAL
pure chaos donald trumps campaign management offers a glimpse into his governing style spoiler alert its terrible,REAL
sorry america but trump can actually win,REAL
how far can campaigns go to win support from a republican delegate,REAL
clintons lead has evaporated in nevada and her supporters are panicking,REAL
united states v texas the biggest immigration case in a century explained,REAL
indiana law sorting fact from fiction from politics,REAL
workplace violence or terrorism ca massacre probe unfolds,REAL
anti trump delegates now responsible for nominating him,REAL
in rush to reclaim yemen exiled leaders risk fracturing it,REAL
why mitch mcconnell bid to extend patriot act failed,REAL
the daily 202 why blocking obamas pick to replace scalia could cost republicans their senate majority,REAL
state department admits to deliberately cutting briefing footage on iran deal,REAL
nikki haley should have run for president,REAL
nj gov christie walks a fine line on gay marriage,REAL
chris christie losing home state donors as jeb bush makes inroads,REAL
cruz wins cpac presidential straw poll,REAL
senate debate reveals absurd level of trade deal secrecy,REAL
gop searches for obamacare fix,REAL
why america might elect a president it doesnt like,REAL
how the battle against the islamic state is redrawing the map of the middle east,REAL
will any of obamas isis proposals succeed,REAL
carly fiorina announces presidential bid,REAL
why the drop in income inequality,REAL
state department says netanyahu twisted kerrys words in speech to congress,REAL
future obamacare costs keep falling,REAL
obama pushes controversial trade deal in germany,REAL
why scott walkers supernova campaign burned out video,REAL
san bernardino massacre a horror that affects us all,REAL
what advantages does marco rubio have,REAL
this is how ted cruz wins why the formerly unthinkable could really actually happen,REAL
100000 people have come to recent bernie sanders rallies how does he do it,REAL
south korean naval vessel fires warning shots near north korean patrol amid high tension,REAL
how trump is following in sanderss fundraising footsteps video,REAL
clinton and the dnc a crisis not merely survived but transcended,REAL
2016ers hail release of us prisoners held by iran as republicans slam obama policy,REAL
clinton cries racism tagging trump with kkk trump says she lies,REAL
how rich candidates try to appeal to working voters,REAL
trump and what he might say next is burning up gops political capital in washington,REAL
why does isis keep making enemies,REAL
how common core quietly won the war,REAL
what makes america exceptional clinton and trump trade places video,REAL
abortion gaffes show trump is the left wing caricature of a conservative,REAL
to get around congress obama turns to city halls,REAL
surviving escaped prisoner likely fatigued and prone to mistakes police say,REAL
oklahoma fraternity is closed over video of racist chant,REAL
nearly 300k new jobs in february unemployment dips to 55 percent,REAL
is gop ready to unite against trump for his muslim ban,REAL
doug schoen trump hillary and the forgotten swing vote    seniors,REAL
mcconnell announces plan b to stop iran deal,REAL
iran world powers agree to nuclear deal,REAL
yes ted cruz could win,REAL
will hillary clinton lose the election because of the fbi email investigation,REAL
city county leaders ask court to lift injunction on obama immigration programs,REAL
hillarys no slam dunk in 2016,REAL
for first time trump shrinks in spotlight fiorina steals show,REAL
is jeb bush conservative enough,REAL
in a revealing interview trump predicts a massive recession but intends to eliminate the national debt in 8 years,REAL
parts of patriot act expire even as senate moves on bill limiting surveillance,REAL
the weeds our undemocratic primaries obamas new fiduciary rule and the challenge of information polarization,REAL
non confrontational style social media aiding ben carsons surge in polls,REAL
antiquities destroyed at palmyra by the islamic state,REAL
monica lewinskys latest comeback fueled by media remorse,REAL
seeking refuge five lessons from europes migration crisis,REAL
the daily 202 the presidency is hillary clintons to lose here are 12 ways she could lose it,REAL
senate blocks bill to end government collection of phone records,REAL
blaming the media for trump why that utterly misses a political upheaval,REAL
2nd new york prison worker charged in killers escape,REAL
juan williams my bets on trump clinton vice presidential picks,REAL
what i learned watching 15 hours of cruz family videos,REAL
anti semitism growing in europe,REAL
jeb 2016 the bush battle within,REAL
